Rang,Artist,Titel,Eintritt,Wochen,Peak,Punkte,Link,Songtext
53,Mark Ronson feat. Bruno Mars,Uptown Funk!,23.11.2014,65,2,4498,/song/Mark-Ronson-feat.-Bruno-Mars/Uptown-Funk!-1355997,"This hit
That ice cold
Michelle Pfeiffer
That white gold
This one, for them hood girls
Them good girls
Straight masterpieces
Stylin', while in
Livin' it up in the city
Got Chucks on with Saint Laurent
Got kiss myself I'm so pretty

I'm too hot (hot damn)
Called a police and a fireman
I'm too hot (hot damn)
Make a dragon wanna retire man
I'm too hot (hot damn)
Say my name you know who I am
I'm too hot (hot damn)
Am I bad 'bout that money
Break it down

Girls hit your hallelujah (whuoo)
Girls hit your hallelujah (whuoo)
Girls hit your hallelujah (whuoo)
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch (come on)
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Stop
Wait a minute
Fill my cup put some liquor in it
Take a sip, sign a check
Julio! Get the stretch!
Ride to Harlem, Hollywood, Jackson, Mississippi
If we show up, we gon' show out
Smoother than a fresh jar of skippy

I'm too hot (hot damn)
Called a police and a fireman
I'm too hot (hot damn)
Make a dragon wanna retire man
I'm too hot (hot damn) (hot damn)
Bitch, say my name you know who I am
I'm too hot (hot damn)
Am I bad 'bout that money
Break it down

Girls hit your hallelujah (whuoo)
Girls hit your hallelujah (whuoo)
Girls hit your hallelujah (whuoo)
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
'Cause Uptown Funk gon' give it to you
Saturday night and we in the spot
Don't believe me just watch (come on)
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Before we leave
Imma tell y'all a lil' something
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up
I said Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up

Come on, dance
Jump on it
If you sexy then flaunt it
If you freaky then own it
Don't brag about it, come show me
Come on, dance
Jump on it
If you sexy then flaunt it
Well it's Saturday night and we in the spot
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Don't believe me just watch
Hey, hey, hey, oh!

Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up, Uptown Funk you up
Uptown Funk you up, Uptown Funk you up (say whaa?!)
Uptown Funk you up"
54,Madonna,Hung Up,20.11.2005,99,1,4462,/song/Madonna/Hung-Up-141765,"Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly

Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up

I'm tired of waiting for you
Time goes by so slowly for those who wait
No time to hesitate
Those who run seem to have all the fun
I'm caught up

I don't know what to do
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly

I don't know what to do
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up

I'm tired of waiting on you
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up

I'm tired of waiting on you
Ring, ring, ring goes the telephone
The lights are on but there's no one home
Tick tick tock, it's a quarter to two
And I'm done

I'm hanging up on you
I can't keep on waiting for you
I know that you're still hesitating
Don't cry for me
'Cause I'll find my way
You'll wake up one day

But it'll be too late
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up

I'm tired of waiting on you
Every little thing
Every little thing
I'm hung up
I'm hung up on you
Waiting for your call
Waiting for your call

I'm fed up
I'm tired of waiting on you

Time goes by so slowly
Time goes by so slowly

Time goes by so slowly
Time goes by so slowly
So slowly
So slowly
So slowly
So slowly
So slowly

So slowly
So slowly
So slowly
So slowly
So slowly
So slowly
So slowly
So slowly
So slowly
So s...
I don't know what to do
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you
Every little thing that you say or do
I'm hung up
I'm hung up on you
Waiting for your call
Baby, night and day
I'm fed up
I'm tired of waiting on you
Every little thing
Every little thing
I'm hung up
I'm hung up on you
Waiting for your call
Waiting for your call
I'm fed up
I'm tired of waiting on you"
55,Sam Smith,Stay With Me,18.05.2014,62,6,4448,/song/Sam-Smith/Stay-With-Me-1268761,"Guess it's true
I'm not good at a one night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave
Will you hold my hand

Oh, won't you stay with me
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Why am I so emotional
No it's not a good look, gain some self control
Deep down I know this never works
But you could lay with me
So it doesn't hurt

Oh, won't you stay with me
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me

Oooh oh ooh oooh ooooh oh
Oooh oh ooh oooh ooooh oh

Oh, won't you stay with me
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me
Oh, wont you stay with me
Cause you're all I need
This ain't love its clear to see
But darling
Stay with me"
56,Jason Mraz,I'm Yours,25.05.2008,70,6,4443,/song/Jason-Mraz/I'm-Yours-438612,"Well, you done done me, and you bet I felt it
I tried to be chill, but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back

Before the cool-done run out, I'll be givin' it my best-est
And nothin's gonna stop me but divine intervention
I reckon it's again my turn to win some or learn some

But I won't hesitate no more, no more
It cannot wait, I'm yours
Well, open up your mind and see like me
Open up your plans and, damn, you're free
Look into your heart and you'll find love, love, love, love

Listen to the music of the moment, people dance and sing
We're just one big family
And it's our God-forsaken right to be loved, loved, loved, loved, loved
So I won't hesitate no more, no more

It cannot wait, I'm sure
There's no need to complicate, our time is short
This is our fate, I'm yours

Doo ch doo doo doo joo
Ba doo ja doo ja doo doo ba
Do you want to come on a scooch on over closer, dear?
And I will nibble your ear

A soon da ba ba boom ba baum
Whoa, whoa
I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed

I guess what I'll be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate no more, no more
It cannot wait, I'm yours
Well, open up your mind and see like me
Open up your plans and, damn, you're free
Look into your heart, and you'll find that the sky is yours

So please don't, please don't, please don't
There's no need to complicate
'Cause our time is short
This, oh, this, oh, this is our fate
I'm yours"
57,James Arthur,Impossible,06.01.2013,63,2,4433,/song/James-Arthur/Impossible-1093567,"I remember years ago
Someone told me I should take
Caution when it comes to love
I did
And you were strong and I was not
My illusion, my mistake
I was careless I forgot
I did

And now
When all is done there is nothing to say
You have gone and so effortlessly
You have won you can go ahead
Tell them, tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible
Impossible
Impossible
Impossible

Falling out of love is hard
Falling for betrayal is worse
Broken trust and broken hearts
I know
I know
And thinking all you need is there
Building faith on love and words
Empty promises we'll wear
I know
I know and now

When all is done there is nothing to say
And if you're done with embarrassing me
On your own you can go ahead
Tell them, tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy
And my heart is broken
All my scars are open
Tell them what I hoped would be
Impossible
Impossible
Impossible
Impossible

I remember years ago
Someone told me I should take
Caution when it comes to love
I did

Tell them all I know now
Shout it from the roof tops
Write it on the sky line
All we had is gone now
Tell them I was happy
And my heart is broken
Oh, what I hoped would be
Impossible
Impossible
Impossible
Impossible
Impossible
Imposible
Impossible
Impossible"
58,Lady Gaga feat. Colby O'Donis,Just Dance,10.08.2008,56,8,4404,/song/Lady-Gaga-feat.-Colby-O'Donis/Just-Dance-481954,"RedOne
Konvict
Gaga (oh-oh, eh)

I've had a little bit too much, much
All of the people start to rush (start to rush by)
A dizzy twister dance
Can't find my drink or man
Where are my keys?
I lost my phone, phone

What's going on on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool
What's the name of this club?
I can't remember, but it's alright, alright

Just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just j-j-just dance

Wish I could shut my playboy mouth
How'd I turn my shirt inside out? (Inside out, right)
Control your poison, babe
Roses have thorns, they say
And we're all gettin' hosed tonight

What's going on on the floor?
I love this record, baby, but I can't see straight anymore
Keep it cool
What's the name of this club?
I can't remember, but it's alright, alright

Just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just j-j-just dance

When I come through on the dance floor, checking out that catalogue
Can't believe my eyes
So many women without a flaw
And I ain't gonna give it up
Steady, tryna pick it up, like a call
I'mma hit it, I'mma beat it and latch onto it until tomorrow, yeah
Shorty, I can see that you got so much energy
The way you twirling up them hips 'round and 'round
And there is no reason at all why you can't leave here with me
In the meantime, stay and let me watch you break it down

And dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just j-j-just dance

(Incredible... amazing... music)
Wooo!
Let's go!

Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Half psychotic, sick, hypnotic, got my blueprint, it's symphonic
Half psychotic, sick, hypnotic, got my blueprint, electronic
Go!
Use your muscle, carve it out, work it, hustle
(I got it, just stay close enough to get it on)
Don't slow!
Drive it, clean it, Lysol, bleed it
Spend the last dough (I got it) in your pock-o (I got it)

Just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-doo-doot-n, just dance
Spin that record, babe
Da-da-doo-doot-n, just dance
Gonna be okay
Da-da-da-dance, dance, dance
Just j-j-just dance"
59,David Guetta feat. Kelly Rowland,When Love Takes Over,10.05.2009,55,1,4389,/song/David-Guetta-feat.-Kelly-Rowland/When-Love-Takes-Over-576092,Leider kein Songtext vorhanden.
60,Coldplay,Hymn For The Weekend,13.12.2015,71,7,4339,/song/Coldplay/Hymn-For-The-Weekend-1501295,"Oh, angel sent from up above
You know you make my world light up
When I was down, when I was hurt
You came to lift me up
Life is a drink and love's a drug
Oh now I think I must be miles up
When I was a river dried up
You came to rain a flood

Oh-I-Oh-I-Oh-I
Got me feeling drunk and high
So high, so high
Oh-I-Oh-I-Oh-I
Now I'm feeling drunk and high
So high, so high

Feeling drunk and high
Feeling drunk and high
So high

Oh, angel sent from up above
I feel it coursing through my blood
Life is a drink, your love's about
To make the stars come out

Oh-I-Oh-I-Oh-I
Got me feeling drunk and high
So high, so high
Oh-I-Oh-I-Oh-I
Now I'm feeling drunk and high
So high, so high

Feeling drunk and high
Feeling drunk and high
So high

That we shoot across the sky
That we shoot across the...
That we shoot across the sky
That we shoot across the...
That we shoot across the sky
That we shoot across the...
That we shoot across the sky
That we shoot across the..."
61,Omi,Cheerleader (Felix Jaehn Remix),08.02.2015,54,1,4307,/song/Omi/Cheerleader-(Felix-Jaehn-Remix)-1347101,"When I need motivation
My one solution is my queen
'Cause she stays strong
Yeah, yeah

She is always in my corner
Right there when I want her
All these other girls are tempting
But I'm empty when you're gone

And they say
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
I'm like no, not really 'cause

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her

She walks like a model
She grants my wishes like a genie in a bottle
Yeah, yeah

'Cause I'm the wizard of love
And I got the magic wand
All these other girls are tempting
But I'm empty when you're gone

And they say
Do you need me?
Do you think I'm pretty?
Do I make you feel like cheating?
I'm like no, not really 'cause

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her

She gives me love and affection
Baby, did I mention you're the only girl for me?
No, I don't need a next one

Mama loves you too
She thinks I made the right selection
Now all that's left to do is just for me to pop the question

Oh, I think that I found myself a cheerleader
She is always right there when I need her
Oh, I think that I found myself a cheerleader
She is always right there when I need her"
62,Nelly Furtado,Say It Right,25.02.2007,65,1,4291,/song/Nelly-Furtado/Say-It-Right-215750,"In the day, in the night
Say it right, say it all
You either got it or you don't
You either stand or you fall

When your will is broken
When it slips from your hand
When there's no time for joking
There's a hole in the plan

Oh, you don't mean nothing at all to me
No, you don't mean nothing at all to me
But you got what it takes to set me free
Oh, you could mean everything to me

I can't say (say) that I'm not (not) at a loss (loss) and at fault (fault)
I can't say (say) that I don't (don't) love the light (light) and the dark
I can't say that I don't (don't) know that I am alive and I love what I feel (feel)
I could show (show you) you tonight, you tonight

Oh, you don't mean nothing at all to me
No, you don't mean nothing at all to me
But you got what it takes to set me free
Oh, you could mean everything to me

From my hands I could give you something that I made
From my mouth I could sing you another brick that I laid
From my body (from my body) I could show you (I could show you) a place (a place) God knows (that only God knows)
You should know, this space is holy (oh oh oh oh)
Do you really wanna go? (two, three, four)"
63,Tiziano Ferro,Xdono,30.09.2001,61,4,4290,/song/Tiziano-Ferro/Xdono-4883,
64,Israel IZ Kamakawiwo'ole,Over The Rainbow,19.09.2010,68,3,4268,/song/Israel-IZ-Kamakawiwo'ole/Over-The-Rainbow-307004,"Somewhere over the rainbow, way up high
And the dreams that you dreamed of, once in a lullaby
Somewhere over the rainbow, blue birds fly
And the dreams that you dreamed of, dreams really do come true

Someday I'll wish upon a star,
wake up where the clouds are far behind me
Where troubles melts like lemon drops, high above the chimney top
That's where you'll find me

Somewhere over the rainbow, blue birds fly
And the dream that you dare to why, oh why can't I?

Well I see trees of green and red roses too
I watch them bloom for me and you
And I think to myself
What a wonderful world

Well I see skies of blue, and I see clouds of white
And the brightness of day
I like the dark
And I think to myself
What a wonderful world

The colors of the rainbow so pretty in the sky
Are also on the faces of people passing by
I see friends shaking hands, singing ""How do you do""
They're really saying, I... I love you
I hear babies cry and I watch them grow,
They'll learn much more Than we'll know
And I think to myself What a wonderful world

Someday I'll wish upon a star,
Wake up where the clouds are far behind me
Where trouble melts like lemon drops
High above the chimney top that's where you'll find me
Oh, somewhere over the rainbow way up high
And the dream that you dare to, why, oh why can't I?"
65,Lucenzo feat. Don Omar,Danza kuduro,29.05.2011,59,1,4248,/song/Lucenzo-feat.-Don-Omar/Danza-kuduro-747644,"La mano arriba
Cintura sola

Da media vuelta
Danza Kuduro
No te canse ahora
Que esto solo empieza

Mueve la cabeza
Danza Kuduro
La mano arriba
Cintura sola
Da media vuelta
Danza Kuduro
No te canse ahora
Que esto solo empieza
Mueve la cabeza
Danza Kuduro

La mano arriba
Cintura sola
Da media vuelta

Danza Kuduro
No te canse ahora
Que esto solo empieza
Mueve la cabeza

Danza Kuduro
La mano arriba
Cintura sola
Da media vuelta

Danza Kuduro
No te canse ahora
Que esto solo empieza
Mueve la cabeza

Danza Kuduro
Oi, oi, oi, oi, oi, oi, oi…
Vem para quebrar kuduro, vamos dançar kuduro

Oi, oi, oi, oi, oi, oi, oi…
Seja morena ou loira, vem balançar kuduro
Oi, oi, oi
Que tu crees?
Bailemos Kuduro al derecho al revés!
Rapido, lento
Suave también duro
Bailemos Kuduro
Tu y yo en lo oscuro y dice
Lento, lento
Rápido seguro

Tu y yo en los oscuro mama!
A&X
El Orfanato!
La mano arriba (A&X!)
Cintura sola
(Tamo rompiendo durísimo!)
Da media vuelta
Danza Kuduro
(Welcome to the millionaires boys club!)
No te canse ahora
Que esto solo empieza
Mueve la cabeza
Danza Kuduro
La mano arriba (DY)
Cintura sola (DO)
Da media vuelta (Arcangel La Maravilla)
Danza Kuduro (Lucenzo!)
No te canse ahora (El Orfanato)
Que esto solo empieza (Pa donde tu no vienes!)
Mueve la cabeza
Danza Kuduro
El Rey
Danza Kuduro!
Y aquí están los mas duros!
Insuperable!
Inigualable
Con un flow
Insoportable
DY!
DO!"
66,Tom Odell,Another Love,17.02.2013,85,23,4239,/song/Tom-Odell/Another-Love-1084143,"I wanna take you somewhere so you know I care
But it's so cold and I don't know where
So I pick you daffodils, in a pretty string
But they won't flower like they did last Spring

Yeah, I wanna kiss you, make you feel alright
But I'm just so tired to share my nights
I wanna cry and I wanna love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up

And if somebody hurts you, yeah, I wanna fight
But my hands been broken way too many times
So I use my voice, I'll be so damn rude
Words they always win, but I know I'll lose

Yeah, I'll sing a song, that'll be just ours
But I sang 'em all to another heart
And I wanna cry, I wanna learn to love
But all my tears have been used up

On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up
On another love, another love
All my tears have been used up"
67,Stromae,Papaoutai,23.06.2013,58,4,4218,/song/Stromae/Papaoutai-1142159,
68,Rihanna feat. Jay-Z,Umbrella,03.06.2007,73,1,4192,/song/Rihanna-feat.-Jay-Z/Umbrella-304531,"Gyeah, Rihanna
Good Girl Gone Bad
Take three, action

No clouds in my storms
Let it rain, I hydroplane into fame
Comin' down like the Dow Jones
When the clouds come, we gone

We Roc-A-Fellas
We fly higher than weather
And she flies it better

You know me, in anticipation for precipitation
Stack chips for the rainy day
Jay, Rain Man is back with Little Miss Sunshine
Rihanna, where you at?

You had my heart, and we'll never be worlds apart
Maybe in magazines, but you'll still be my star
Baby 'cause in the dark, you can't see shiny cars
And that's when you need me there
With you, I'll always share

Because when the sun shines, we'll shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end

Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella

(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay ay, ay ay)

These fancy things will never come in between
You're part of my entity, here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard, together we'll mend your heart

Because when the sun shines, we'll shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end

Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella

(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay ay, ay ay)

You can run into my arms
It's okay, don't be alarmed, come in to me
There's no distance in between our love
So go on and let the rain pour
I'll be all you need and more

Because when the sun shines, we'll shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end

Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella

(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay)
Under my umbrella
(Ella ella, ay ay ay ay, ay ay)

It's raining, raining
Ooh baby, it's raining, raining
Baby, come in to me
Come in to me

It's raining, raining
Ooh baby, it's raining, raining
You can always come here to me
Come in to me

It's pouring rain, it's pouring rain
Come in to me, come in to me
It's pouring rain, it's pouring rain
Come in to me, come in to me"
69,Carly Rae Jepsen,Call Me Maybe,25.03.2012,60,1,4186,/song/Carly-Rae-Jepsen/Call-Me-Maybe-933091,"I threw a wish in the well
Don't ask me, I'll never tell
I looked to you as it fell
And now you're in my way

I trade my soul for a wish
Pennies and dimes for a kiss
I wasn't looking for this
But now you're in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe

Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

You took your time with the call
I took no time with the fall
You gave me nothing at all
But still, you're in my way

I beg and borrow and steal
Have foresight, and it's real
I didn't know I would feel it
But it's in my way

Your stare was holdin'
Ripped jeans, skin was showin'
Hot night, wind was blowin'
Where you think you're going, baby?

Hey, I just met you, and this is crazy
But here's my number, so call me maybe
It's hard to look right at you, baby
But here's my number, so call me maybe

Hey, I just met you, and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that I missed you so, so bad

It's hard to look right at you, baby
But here's my number, so call me maybe

Hey, I just met you and this is crazy
But here's my number, so call me maybe
And all the other boys try to chase me
But here's my number, so call me maybe

Before you came into my life, I missed you so bad
I missed you so bad, I missed you so, so bad
Before you came into my life, I missed you so bad
And you should know that, so call me maybe"
70,Leona Lewis,Bleeding Love,23.12.2007,65,1,4173,/song/Leona-Lewis/Bleeding-Love-364693,"Closed off from love, I didn't need the pain
Once or twice was enough and it was all in vain
Time starts to pass, before you know it you're frozen
But something happened for the very first time with you
My heart melted to the ground
Found something true
And everyone's looking round thinking I'm going crazy

But I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open

Trying hard not to hear, but they talk so loud
Their piercing sounds fill my ears, try to fill me with doubt
Yet I know that their goal is to keep me from falling
But nothing's greater than the risk
That comes with your embrace
And in this world of loneliness, I see your face
Yet everyone around me thinks that I'm going crazy
Maybe, maybe

But I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
You cut me open

And it's draining all of me
Though they find it hard to believe
I'll be wearing these scars for everyone to see

I don't care what they say, I'm in love with you
They try to pull me away, but they don't know the truth
My heart's crippled by the vein that I keep on closing
You cut me open and I

Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love
(Ooh, you cut me open and I)
Keep bleeding
Keep, keep bleeding love
I keep bleeding
I keep, keep bleeding love
Keep bleeding
Keep, keep bleeding love

Ooh, you cut me open and I
Keep bleeding
Keep, keep bleeding love"
71,Imagine Dragons,Believer,12.02.2017,67,6,4166,/song/Imagine-Dragons/Believer-1630609,"First things first
I'ma say all the words inside my head
I'm fired up and tired of the way that things have been, oh-ooh
The way that things have been, oh-ooh

Second thing second
Don't you tell me what you think that I can be
I'm the one at the sail, I'm the master of my sea, oh-ooh
The master of my sea, oh-ooh

I was broken from a young age
Taking my sulking to the masses
Writing my poems for the few
That looked at me, took to me, shook to me, feeling me
Singing from heartache from the pain
Take up my message from the veins
Speaking my lesson from the brain
Seeing the beauty through the

Pain!
You made me a, you made me a believer, believer
Pain!
You break me down, you build me up, believer, believer
Believer, believer
Believer, believer
Believer, believer

Third things third
Send a prayer to the ones up above
All the hate that you've heard has turned your spirit to a dove, oh-ooh
Your spirit up above, oh-ooh

I was choking in the crowd
Building my rain up in the cloud
Falling like ashes to the ground
Hoping my feelings, they would drown
But they never did, ever lived, ebbing and flowing
Inhibited, limited
'Til it broke open and rained down
It rained down, like

Pain!
You made me a, you made me a believer, believer
Pain!
You break me down, you build me up, believer, believer
Pain!
Believer, believer
Believer, believer"
72,Milky Chance,Stolen Dance,27.10.2013,60,1,4158,/song/Milky-Chance/Stolen-Dance-1165713,"I want you by my side
So that I never feel alone again
They've always been so kind
But now they've brought you away from me

I hope they didn't get your mind
Your heart is too strong anyway
We need to fetch back the time
They have stolen from us

And I want you
We can bring it on the floor
Never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it

And I want you
We can bring it on the floor
Never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
Shouldn't talk about it

Coldest winter for me
No sun is shining anymore
The only thing I feel is pain
Caused by absence of you
Suspense is controlling my mind
I cannot find the way out of here

I want you by my side
So that I never feel alone again

And I want you
We can bring it on the floor
Never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it

And I want you
We can bring it on the floor
Never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
Shouldn't talk about it
Shouldn't talk about it

And I want you
We can bring it on the floor
Never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
And I want you
We can bring it on the floor
Never danced like this before
We don't talk about it
Dancin' on, doin' the boogie all night long
Stoned in paradise
Shouldn't talk about it
Shouldn't talk about it"
73,Snow Patrol,Chasing Cars,26.11.2006,106,4,4158,/song/Snow-Patrol/Chasing-Cars-207283,"We'll do it all
Everything
On our own
We don't need
Anything
Or anyone

If I lay here
If I just lay here
Would you lie with me
And just forget the world?

I don't quite know
How to say
How I feel
Those three words
Are said too much
They're not enough

If I lay here
If I just lay here
Would you lie with me
And just forget the world?
Forget what we're told
Before we get too old
Show me a garden
That's bursting into life

Let's waste time
Chasing cars
Around our heads
I need your grace
To remind me
To find my own

If I lay here
If I just lay here
Would you lie with me
And just forget the world?
Forget what we're told
Before we get too old
Show me a garden
That's bursting into life

All that I am
All that I ever was
Is here in your perfect eyes
They're all I can see
I don't know where
Confused about how as well
Just know that these things
Will never change for us at all

If I lay here
If I just lay here
Would you lie with me
And just forget the world?"
74,Adele,Set Fire To The Rain,13.02.2011,57,4,4152,/song/Adele/Set-Fire-To-The-Rain-792463,"I set fire...
Fire, fire, fire...
Let it burn
Fire, fire, fire...
I let it fall, my heart,
And as it fell you rose to claim it
It was dark and I was over
Until you kissed my lips and you saved me

My hands, they're strong
But my knees were far too weak
To stand in your arms
Without falling to your feet

But there's a side to you that I never knew, never knew
All the things you'd say, they were never true, never true
And the games you'd play, you would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Let it burn while I cry
'Cause I heard it screaming out your name, your name

When laying with you
I could stay there, close my eyes
Feel you here, forever
You and me together, nothing gets better

Cause there's a side to you that I never knew, never knew
All the things you'd say, they were never true, never true
And the games you'd play, you would always win, always win

But I set fire to the rain
Watched it pour as I touched your face
Let it burn while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where I felt something die, 'cause I knew that
That was the last time, the last time
Sometimes I wake up by the door
As if that heart you caught is still waiting for you
Even now when it's already over
I can't help myself from looking for you
I set fire...
Fire...
Let it burn
Fire, fire, fire.
I set fire to the rain
Watched it pour as I touched your face
Let it burn while I cried
'Cause I heard it screaming out your name, your name

I set fire to the rain
And I threw us into the flames
Where I felt something die
'Cause I knew that that was the last time, the last time,
Let it burn
Let it burn
Let it burn
Oh..."
75,Lost Frequencies,Are You With Me,08.02.2015,56,1,4150,/song/Lost-Frequencies/Are-You-With-Me-1328482,"I wanna dance by water 'neath the Mexican sky
Drink some Margaritas by a string of blue lights
Listen to the Mariachi play at midnight

Are you with me?
Are you with me?

Are you with me?

I wanna dance by water 'neath the Mexican sky

I wanna dance by water 'neath the Mexican sky
Drink some Margaritas by a string of blue lights
Listen to the Mariachi play at midnight

Are you with me?
Are you with me?

Are you with me?
Are you with me?

Are you with me?

I wanna dance by water 'neath the Mexican sky

I wanna dance by water 'neath the Mexican sky
Drink some Margaritas by a string of blue lights
Listen to the Mariachi play at midnight

Are you with me?
Are you with me?"
