Einheit,Zivilstand,Anzahl,Typ
Trogen,Verwitwet,71,Gemeinde
Trogen,Geschieden,162,Gemeinde
Bezirk Vorderland,Ledig,5455,Bezirk
Bezirk Vorderland,Verheiratet,6081,Bezirk
Bezirk Vorderland,Verwitwet,724,Bezirk
Bezirk Vorderland,Geschieden,1247,Bezirk
Grub (AR),Ledig,394,Gemeinde
Grub (AR),Verheiratet,483,Gemeinde
Grub (AR),Verwitwet,49,Gemeinde
Grub (AR),Geschieden,82,Gemeinde
Heiden,Ledig,1642,Gemeinde
Heiden,Verheiratet,1896,Gemeinde
Heiden,Verwitwet,244,Gemeinde
Heiden,Geschieden,369,Gemeinde
Lutzenberg,Ledig,505,Gemeinde
Lutzenberg,Verheiratet,574,Gemeinde
Lutzenberg,Verwitwet,43,Gemeinde
Lutzenberg,Geschieden,132,Gemeinde
Rehetobel,Ledig,739,Gemeinde
Rehetobel,Verheiratet,754,Gemeinde
Rehetobel,Verwitwet,97,Gemeinde
Rehetobel,Geschieden,139,Gemeinde
Reute (AR),Ledig,270,Gemeinde
Reute (AR),Verheiratet,327,Gemeinde
Reute (AR),Verwitwet,39,Gemeinde
Reute (AR),Geschieden,56,Gemeinde
Wald (AR),Ledig,354,Gemeinde
Wald (AR),Verheiratet,364,Gemeinde
Wald (AR),Verwitwet,53,Gemeinde
Wald (AR),Geschieden,73,Gemeinde
Walzenhausen,Ledig,845,Gemeinde
Walzenhausen,Verheiratet,875,Gemeinde
Walzenhausen,Verwitwet,107,Gemeinde
Walzenhausen,Geschieden,227,Gemeinde
Wolfhalden,Ledig,706,Gemeinde
Wolfhalden,Verheiratet,808,Gemeinde
Wolfhalden,Verwitwet,92,Gemeinde
Wolfhalden,Geschieden,169,Gemeinde
Appenzell Innerrhoden,Ledig,7338,Kanton
Appenzell Innerrhoden,Verheiratet,6971,Kanton
Appenzell Innerrhoden,Verwitwet,851,Kanton
Appenzell Innerrhoden,Geschieden,814,Kanton
Kanton Appenzell Innerrhoden,Ledig,7338,Bezirk
Kanton Appenzell Innerrhoden,Verheiratet,6971,Bezirk
Kanton Appenzell Innerrhoden,Verwitwet,851,Bezirk
Kanton Appenzell Innerrhoden,Geschieden,814,Bezirk
Appenzell,Ledig,2629,Gemeinde
Appenzell,Verheiratet,2491,Gemeinde
Appenzell,Verwitwet,342,Gemeinde
Appenzell,Geschieden,360,Gemeinde
Gonten,Ledig,660,Gemeinde
Gonten,Verheiratet,624,Gemeinde
Gonten,Verwitwet,97,Gemeinde
Gonten,Geschieden,61,Gemeinde
Rüte,Ledig,1674,Gemeinde
Rüte,Verheiratet,1542,Gemeinde
Rüte,Verwitwet,163,Gemeinde
Rüte,Geschieden,146,Gemeinde
Schlatt-Haslen,Ledig,559,Gemeinde
Schlatt-Haslen,Verheiratet,460,Gemeinde
Schlatt-Haslen,Verwitwet,51,Gemeinde
Schlatt-Haslen,Geschieden,40,Gemeinde
Schwende,Ledig,1021,Gemeinde
Schwende,Verheiratet,968,Gemeinde
Schwende,Verwitwet,95,Gemeinde
Schwende,Geschieden,75,Gemeinde
Oberegg,Ledig,795,Gemeinde
Oberegg,Verheiratet,886,Gemeinde
Oberegg,Verwitwet,103,Gemeinde
Oberegg,Geschieden,132,Gemeinde
St. Gallen,Ledig,215628,Kanton
St. Gallen,Verheiratet,219912,Kanton
St. Gallen,Verwitwet,24365,Kanton
St. Gallen,Geschieden,39145,Kanton
Wahlkreis St. Gallen,Ledig,55644,Bezirk
Wahlkreis St. Gallen,Verheiratet,49895,Bezirk
Wahlkreis St. Gallen,Verwitwet,5961,Bezirk
Wahlkreis St. Gallen,Geschieden,10213,Bezirk
Häggenschwil,Ledig,557,Gemeinde
Häggenschwil,Verheiratet,595,Gemeinde
Häggenschwil,Verwitwet,49,Gemeinde
Häggenschwil,Geschieden,63,Gemeinde
Muolen,Ledig,563,Gemeinde
Muolen,Verheiratet,550,Gemeinde
Muolen,Verwitwet,44,Gemeinde
Muolen,Geschieden,48,Gemeinde
St. Gallen,Ledig,36460,Gemeinde
St. Gallen,Verheiratet,28553,Gemeinde
St. Gallen,Verwitwet,3746,Gemeinde
St. Gallen,Geschieden,6772,Gemeinde
Wittenbach,Ledig,3771,Gemeinde
Wittenbach,Verheiratet,4556,Gemeinde
Wittenbach,Verwitwet,483,Gemeinde
Wittenbach,Geschieden,842,Gemeinde
Eggersriet,Ledig,910,Gemeinde
Eggersriet,Verheiratet,1082,Gemeinde
Eggersriet,Verwitwet,109,Gemeinde
Eggersriet,Geschieden,161,Gemeinde
Andwil (SG),Ledig,811,Gemeinde
Andwil (SG),Verheiratet,911,Gemeinde
Andwil (SG),Verwitwet,79,Gemeinde
Andwil (SG),Geschieden,98,Gemeinde
Gaiserwald,Ledig,3397,Gemeinde
Gaiserwald,Verheiratet,3945,Gemeinde
Gaiserwald,Verwitwet,393,Gemeinde
Gaiserwald,Geschieden,643,Gemeinde
Gossau (SG),Ledig,7608,Gemeinde
Gossau (SG),Verheiratet,8115,Gemeinde
Gossau (SG),Verwitwet,892,Gemeinde
Gossau (SG),Geschieden,1388,Gemeinde
Waldkirch,Ledig,1567,Gemeinde
Waldkirch,Verheiratet,1588,Gemeinde
Waldkirch,Verwitwet,166,Gemeinde
Waldkirch,Geschieden,198,Gemeinde
Wahlkreis Rorschach,Ledig,17237,Bezirk
Wahlkreis Rorschach,Verheiratet,18972,Bezirk
Wahlkreis Rorschach,Verwitwet,2220,Bezirk
Wahlkreis Rorschach,Geschieden,3837,Bezirk
Berg (SG),Ledig,336,Gemeinde
Berg (SG),Verheiratet,429,Gemeinde
Berg (SG),Verwitwet,36,Gemeinde
Berg (SG),Geschieden,39,Gemeinde
Goldach,Ledig,3596,Gemeinde
Goldach,Verheiratet,4126,Gemeinde
Goldach,Verwitwet,524,Gemeinde
Goldach,Geschieden,864,Gemeinde
Mörschwil,Ledig,1525,Gemeinde
Mörschwil,Verheiratet,1693,Gemeinde
Mörschwil,Verwitwet,144,Gemeinde
Mörschwil,Geschieden,199,Gemeinde
Rorschach,Ledig,3854,Gemeinde
Rorschach,Verheiratet,3755,Gemeinde
Rorschach,Verwitwet,610,Gemeinde
Rorschach,Geschieden,995,Gemeinde
Rorschacherberg,Ledig,2856,Gemeinde
Rorschacherberg,Verheiratet,3355,Gemeinde
Rorschacherberg,Verwitwet,338,Gemeinde
Rorschacherberg,Geschieden,665,Gemeinde
Steinach,Ledig,1410,Gemeinde
Steinach,Verheiratet,1608,Gemeinde
Steinach,Verwitwet,180,Gemeinde
Steinach,Geschieden,321,Gemeinde
Tübach,Ledig,570,Gemeinde
Tübach,Verheiratet,624,Gemeinde
Tübach,Verwitwet,54,Gemeinde
Tübach,Geschieden,89,Gemeinde
Untereggen,Ledig,464,Gemeinde
Untereggen,Verheiratet,470,Gemeinde
Untereggen,Verwitwet,30,Gemeinde
Untereggen,Geschieden,81,Gemeinde
Thal,Ledig,2626,Gemeinde
Thal,Verheiratet,2912,Gemeinde
Thal,Verwitwet,304,Gemeinde
Thal,Geschieden,584,Gemeinde
Wahlkreis Rheintal,Ledig,30340,Bezirk
Wahlkreis Rheintal,Verheiratet,31784,Bezirk
Wahlkreis Rheintal,Verwitwet,3404,Bezirk
Wahlkreis Rheintal,Geschieden,5535,Bezirk
Au (SG),Ledig,3062,Gemeinde
Au (SG),Verheiratet,3271,Gemeinde
Au (SG),Verwitwet,371,Gemeinde
Au (SG),Geschieden,674,Gemeinde
Balgach,Ledig,1987,Gemeinde
Balgach,Verheiratet,1949,Gemeinde
Balgach,Verwitwet,201,Gemeinde
Balgach,Geschieden,361,Gemeinde
Berneck,Ledig,1623,Gemeinde
Berneck,Verheiratet,1815,Gemeinde
Berneck,Verwitwet,196,Gemeinde
Berneck,Geschieden,303,Gemeinde
Diepoldsau,Ledig,2799,Gemeinde
Diepoldsau,Verheiratet,2890,Gemeinde
Diepoldsau,Verwitwet,225,Gemeinde
Diepoldsau,Geschieden,433,Gemeinde
Rheineck,Ledig,1314,Gemeinde
Rheineck,Verheiratet,1512,Gemeinde
Rheineck,Verwitwet,191,Gemeinde
Rheineck,Geschieden,294,Gemeinde
St. Margrethen,Ledig,2293,Gemeinde
St. Margrethen,Verheiratet,2650,Gemeinde
St. Margrethen,Verwitwet,304,Gemeinde
St. Margrethen,Geschieden,545,Gemeinde
Widnau,Ledig,3997,Gemeinde
Widnau,Verheiratet,4244,Gemeinde
Widnau,Verwitwet,379,Gemeinde
Widnau,Geschieden,709,Gemeinde
Altstätten,Ledig,4896,Gemeinde
Altstätten,Verheiratet,4964,Gemeinde
Altstätten,Verwitwet,612,Gemeinde
Altstätten,Geschieden,886,Gemeinde
Eichberg,Ledig,686,Gemeinde
Eichberg,Verheiratet,692,Gemeinde
Eichberg,Verwitwet,57,Gemeinde
Eichberg,Geschieden,104,Gemeinde
Marbach (SG),Ledig,909,Gemeinde
Marbach (SG),Verheiratet,993,Gemeinde
Marbach (SG),Verwitwet,87,Gemeinde
Marbach (SG),Geschieden,148,Gemeinde
Oberriet (SG),Ledig,4000,Gemeinde
Oberriet (SG),Verheiratet,3764,Gemeinde
Oberriet (SG),Verwitwet,431,Gemeinde
Oberriet (SG),Geschieden,524,Gemeinde
Rebstein,Ledig,1828,Gemeinde
Rebstein,Verheiratet,2002,Gemeinde
Rebstein,Verwitwet,238,Gemeinde
Rebstein,Geschieden,394,Gemeinde
Rüthi (SG),Ledig,946,Gemeinde
Rüthi (SG),Verheiratet,1038,Gemeinde
Rüthi (SG),Verwitwet,112,Gemeinde
Rüthi (SG),Geschieden,160,Gemeinde
Wahlkreis Werdenberg,Ledig,16152,Bezirk
Wahlkreis Werdenberg,Verheiratet,17062,Bezirk
Wahlkreis Werdenberg,Verwitwet,1704,Bezirk
Wahlkreis Werdenberg,Geschieden,3035,Bezirk
Buchs (SG),Ledig,5381,Gemeinde
Buchs (SG),Verheiratet,5361,Gemeinde
Buchs (SG),Verwitwet,599,Gemeinde
Buchs (SG),Geschieden,1073,Gemeinde
Gams,Ledig,1472,Gemeinde
Gams,Verheiratet,1489,Gemeinde
Gams,Verwitwet,139,Gemeinde
Gams,Geschieden,196,Gemeinde
Grabs,Ledig,2922,Gemeinde
Grabs,Verheiratet,3163,Gemeinde
Grabs,Verwitwet,308,Gemeinde
Grabs,Geschieden,535,Gemeinde
Sennwald,Ledig,2179,Gemeinde
Sennwald,Verheiratet,2429,Gemeinde
Sennwald,Verwitwet,206,Gemeinde
Sennwald,Geschieden,442,Gemeinde
Sevelen,Ledig,2019,Gemeinde
Sevelen,Verheiratet,2177,Gemeinde
Sevelen,Verwitwet,209,Gemeinde
Sevelen,Geschieden,423,Gemeinde
Wartau,Ledig,2179,Gemeinde
Wartau,Verheiratet,2443,Gemeinde
Wartau,Verwitwet,243,Gemeinde
Wartau,Geschieden,366,Gemeinde
Wahlkreis Sarganserland,Ledig,16975,Bezirk
Wahlkreis Sarganserland,Verheiratet,17865,Bezirk
Wahlkreis Sarganserland,Verwitwet,2104,Bezirk
Wahlkreis Sarganserland,Geschieden,2898,Bezirk
Bad Ragaz,Ledig,2351,Gemeinde
Bad Ragaz,Verheiratet,2543,Gemeinde
Bad Ragaz,Verwitwet,314,Gemeinde
Bad Ragaz,Geschieden,531,Gemeinde
Flums,Ledig,2104,Gemeinde
Flums,Verheiratet,2161,Gemeinde
Flums,Verwitwet,302,Gemeinde
Flums,Geschieden,302,Gemeinde
Mels,Ledig,3785,Gemeinde
Mels,Verheiratet,3897,Gemeinde
Mels,Verwitwet,404,Gemeinde
Mels,Geschieden,534,Gemeinde
Pfäfers,Ledig,660,Gemeinde
Pfäfers,Verheiratet,738,Gemeinde
Pfäfers,Verwitwet,91,Gemeinde
Pfäfers,Geschieden,84,Gemeinde
Quarten,Ledig,1180,Gemeinde
Quarten,Verheiratet,1276,Gemeinde
Quarten,Verwitwet,141,Gemeinde
Quarten,Geschieden,249,Gemeinde
Sargans,Ledig,2617,Gemeinde
Sargans,Verheiratet,2641,Gemeinde
Sargans,Verwitwet,310,Gemeinde
Sargans,Geschieden,458,Gemeinde
Vilters-Wangs,Ledig,1965,Gemeinde
Vilters-Wangs,Verheiratet,2128,Gemeinde
Vilters-Wangs,Verwitwet,218,Gemeinde
Vilters-Wangs,Geschieden,338,Gemeinde
Walenstadt,Ledig,2313,Gemeinde
Walenstadt,Verheiratet,2481,Gemeinde
Walenstadt,Verwitwet,324,Gemeinde
Walenstadt,Geschieden,402,Gemeinde
Wahlkreis See-Gaster,Ledig,27714,Bezirk
Wahlkreis See-Gaster,Verheiratet,30013,Bezirk
Wahlkreis See-Gaster,Verwitwet,3066,Bezirk
Wahlkreis See-Gaster,Geschieden,4970,Bezirk
Amden,Ledig,660,Gemeinde
Amden,Verheiratet,830,Gemeinde
Amden,Verwitwet,111,Gemeinde
Amden,Geschieden,172,Gemeinde
Benken (SG),Ledig,1251,Gemeinde
Benken (SG),Verheiratet,1391,Gemeinde
Benken (SG),Verwitwet,121,Gemeinde
Benken (SG),Geschieden,152,Gemeinde
Kaltbrunn,Ledig,2153,Gemeinde
Kaltbrunn,Verheiratet,2125,Gemeinde
Kaltbrunn,Verwitwet,179,Gemeinde
Kaltbrunn,Geschieden,331,Gemeinde
Schänis,Ledig,1607,Gemeinde
Schänis,Verheiratet,1760,Gemeinde
Schänis,Verwitwet,156,Gemeinde
Schänis,Geschieden,239,Gemeinde
Weesen,Ledig,664,Gemeinde
Weesen,Verheiratet,694,Gemeinde
Weesen,Verwitwet,105,Gemeinde
Weesen,Geschieden,132,Gemeinde
Schmerikon,Ledig,1488,Gemeinde
Schmerikon,Verheiratet,1749,Gemeinde
Schmerikon,Verwitwet,173,Gemeinde
Schmerikon,Geschieden,258,Gemeinde
Uznach,Ledig,2680,Gemeinde
Uznach,Verheiratet,2957,Gemeinde
Uznach,Verwitwet,296,Gemeinde
Uznach,Geschieden,362,Gemeinde
Rapperswil-Jona,Ledig,11273,Gemeinde
Rapperswil-Jona,Verheiratet,11999,Gemeinde
Rapperswil-Jona,Verwitwet,1324,Gemeinde
Rapperswil-Jona,Geschieden,2279,Gemeinde
Gommiswald,Ledig,1975,Gemeinde
Gommiswald,Verheiratet,2294,Gemeinde
Gommiswald,Verwitwet,235,Gemeinde
Gommiswald,Geschieden,465,Gemeinde
Eschenbach (SG),Ledig,3963,Gemeinde
Eschenbach (SG),Verheiratet,4214,Gemeinde
Eschenbach (SG),Verwitwet,366,Gemeinde
Eschenbach (SG),Geschieden,580,Gemeinde
Wahlkreis Toggenburg,Ledig,19559,Bezirk
Wahlkreis Toggenburg,Verheiratet,20660,Bezirk
Wahlkreis Toggenburg,Verwitwet,2491,Bezirk
Wahlkreis Toggenburg,Geschieden,3198,Bezirk
Ebnat-Kappel,Ledig,2048,Gemeinde
Ebnat-Kappel,Verheiratet,2302,Gemeinde
Ebnat-Kappel,Verwitwet,308,Gemeinde
Ebnat-Kappel,Geschieden,399,Gemeinde
Wildhaus-Alt St. Johann,Ledig,1105,Gemeinde
Wildhaus-Alt St. Johann,Verheiratet,1182,Gemeinde
Wildhaus-Alt St. Johann,Verwitwet,157,Gemeinde
Wildhaus-Alt St. Johann,Geschieden,223,Gemeinde
Nesslau,Ledig,1529,Gemeinde
Nesslau,Verheiratet,1603,Gemeinde
Nesslau,Verwitwet,227,Gemeinde
Nesslau,Geschieden,252,Gemeinde
Hemberg,Ledig,405,Gemeinde
Hemberg,Verheiratet,425,Gemeinde
Hemberg,Verwitwet,40,Gemeinde
Hemberg,Geschieden,57,Gemeinde
Lichtensteig,Ledig,853,Gemeinde
Lichtensteig,Verheiratet,763,Gemeinde
Lichtensteig,Verwitwet,123,Gemeinde
Lichtensteig,Geschieden,172,Gemeinde
Oberhelfenschwil,Ledig,564,Gemeinde
Oberhelfenschwil,Verheiratet,579,Gemeinde
Oberhelfenschwil,Verwitwet,64,Gemeinde
Oberhelfenschwil,Geschieden,93,Gemeinde
Neckertal,Ledig,1734,Gemeinde
Neckertal,Verheiratet,1747,Gemeinde
Neckertal,Verwitwet,192,Gemeinde
Neckertal,Geschieden,324,Gemeinde
Wattwil,Ledig,3598,Gemeinde
Wattwil,Verheiratet,3833,Gemeinde
Wattwil,Verwitwet,526,Gemeinde
Wattwil,Geschieden,620,Gemeinde
Kirchberg (SG),Ledig,3768,Gemeinde
Kirchberg (SG),Verheiratet,4145,Gemeinde
Kirchberg (SG),Verwitwet,405,Gemeinde
Kirchberg (SG),Geschieden,556,Gemeinde
Lütisburg,Ledig,647,Gemeinde
Lütisburg,Verheiratet,640,Gemeinde
Lütisburg,Verwitwet,64,Gemeinde
Lütisburg,Geschieden,100,Gemeinde
Mosnang,Ledig,1264,Gemeinde
Mosnang,Verheiratet,1284,Gemeinde
Mosnang,Verwitwet,137,Gemeinde
Mosnang,Geschieden,117,Gemeinde
Bütschwil-Ganterschwil,Ledig,2044,Gemeinde
Bütschwil-Ganterschwil,Verheiratet,2157,Gemeinde
Bütschwil-Ganterschwil,Verwitwet,248,Gemeinde
Bütschwil-Ganterschwil,Geschieden,285,Gemeinde
Wahlkreis Wil,Ledig,32007,Bezirk
Wahlkreis Wil,Verheiratet,33661,Bezirk
Wahlkreis Wil,Verwitwet,3415,Bezirk
Wahlkreis Wil,Geschieden,5459,Bezirk
Degersheim,Ledig,1779,Gemeinde
Degersheim,Verheiratet,1744,Gemeinde
Degersheim,Verwitwet,196,Gemeinde
Degersheim,Geschieden,281,Gemeinde
Flawil,Ledig,4417,Gemeinde
Flawil,Verheiratet,4707,Gemeinde
Flawil,Verwitwet,502,Gemeinde
Flawil,Geschieden,741,Gemeinde
Jonschwil,Ledig,1618,Gemeinde
Jonschwil,Verheiratet,1784,Gemeinde
Jonschwil,Verwitwet,125,Gemeinde
Jonschwil,Geschieden,240,Gemeinde
Oberuzwil,Ledig,2687,Gemeinde
Oberuzwil,Verheiratet,2937,Gemeinde
Oberuzwil,Verwitwet,268,Gemeinde
Oberuzwil,Geschieden,457,Gemeinde
Uzwil,Ledig,5214,Gemeinde
Uzwil,Verheiratet,6092,Gemeinde
Uzwil,Verwitwet,576,Gemeinde
Uzwil,Geschieden,899,Gemeinde
Niederbüren,Ledig,678,Gemeinde
Niederbüren,Verheiratet,719,Gemeinde
Niederbüren,Verwitwet,60,Gemeinde
Niederbüren,Geschieden,62,Gemeinde
Niederhelfenschwil,Ledig,1322,Gemeinde
Niederhelfenschwil,Verheiratet,1402,Gemeinde
Niederhelfenschwil,Verwitwet,113,Gemeinde
Niederhelfenschwil,Geschieden,171,Gemeinde
Oberbüren,Ledig,1907,Gemeinde
Oberbüren,Verheiratet,1934,Gemeinde
Oberbüren,Verwitwet,168,Gemeinde
Oberbüren,Geschieden,263,Gemeinde
Zuzwil (SG),Ledig,2039,Gemeinde
Zuzwil (SG),Verheiratet,2204,Gemeinde
Zuzwil (SG),Verwitwet,181,Gemeinde
Zuzwil (SG),Geschieden,388,Gemeinde
Wil (SG),Ledig,10346,Gemeinde
Wil (SG),Verheiratet,10138,Gemeinde
Wil (SG),Verwitwet,1226,Gemeinde
Wil (SG),Geschieden,1957,Gemeinde
Graubünden / Grigioni / Grischun,Ledig,83298,Kanton
Graubünden / Grigioni / Grischun,Verheiratet,87623,Kanton
Graubünden / Grigioni / Grischun,Verwitwet,10724,Kanton
Graubünden / Grigioni / Grischun,Geschieden,14957,Kanton
Bezirk Albula,Ledig,3339,Bezirk
Bezirk Albula,Verheiratet,3785,Bezirk
Bezirk Albula,Verwitwet,505,Bezirk
Bezirk Albula,Geschieden,581,Bezirk
Mutten,Ledig,31,Gemeinde
Mutten,Verheiratet,35,Gemeinde
Mutten,Verwitwet,3,Gemeinde
Mutten,Geschieden,3,Gemeinde
Vaz/Obervaz,Ledig,1136,Gemeinde
Vaz/Obervaz,Verheiratet,1246,Gemeinde
Vaz/Obervaz,Verwitwet,131,Gemeinde
Vaz/Obervaz,Geschieden,205,Gemeinde
Lantsch/Lenz,Ledig,221,Gemeinde
Lantsch/Lenz,Verheiratet,230,Gemeinde
Lantsch/Lenz,Verwitwet,30,Gemeinde
Lantsch/Lenz,Geschieden,45,Gemeinde
Schmitten (GR),Ledig,82,Gemeinde
Schmitten (GR),Verheiratet,122,Gemeinde
Schmitten (GR),Verwitwet,17,Gemeinde
Schmitten (GR),Geschieden,21,Gemeinde
Bergün/Bravuogn,Ledig,208,Gemeinde
Bergün/Bravuogn,Verheiratet,244,Gemeinde
Bergün/Bravuogn,Verwitwet,25,Gemeinde
Bergün/Bravuogn,Geschieden,30,Gemeinde
Filisur,Ledig,184,Gemeinde
Filisur,Verheiratet,213,Gemeinde
Filisur,Verwitwet,27,Gemeinde
Filisur,Geschieden,21,Gemeinde
Bivio,Ledig,61,Gemeinde
Bivio,Verheiratet,85,Gemeinde
Bivio,Verwitwet,20,Gemeinde
Bivio,Geschieden,13,Gemeinde
Cunter,Ledig,97,Gemeinde
Cunter,Verheiratet,130,Gemeinde
Cunter,Verwitwet,12,Gemeinde
Cunter,Geschieden,17,Gemeinde
Marmorera,Ledig,7,Gemeinde
Marmorera,Verheiratet,18,Gemeinde
Marmorera,Verwitwet,2,Gemeinde
Marmorera,Geschieden,3,Gemeinde
Mulegns,Ledig,8,Gemeinde
Mulegns,Verheiratet,14,Gemeinde
Mulegns,Verwitwet,1,Gemeinde
Mulegns,Geschieden,3,Gemeinde
Riom-Parsonz,Ledig,119,Gemeinde
Riom-Parsonz,Verheiratet,143,Gemeinde
Riom-Parsonz,Verwitwet,22,Gemeinde
Riom-Parsonz,Geschieden,19,Gemeinde
Salouf,Ledig,92,Gemeinde
Salouf,Verheiratet,91,Gemeinde
Salouf,Verwitwet,12,Gemeinde
Salouf,Geschieden,13,Gemeinde
Savognin,Ledig,388,Gemeinde
Savognin,Verheiratet,467,Gemeinde
Savognin,Verwitwet,70,Gemeinde
Savognin,Geschieden,71,Gemeinde
Sur,Ledig,27,Gemeinde
Sur,Verheiratet,25,Gemeinde
Sur,Verwitwet,7,Gemeinde
Sur,Geschieden,5,Gemeinde
Tinizong-Rona,Ledig,130,Gemeinde
Tinizong-Rona,Verheiratet,134,Gemeinde
Tinizong-Rona,Verwitwet,23,Gemeinde
Tinizong-Rona,Geschieden,20,Gemeinde
Albula/Alvra,Ledig,548,Gemeinde
Albula/Alvra,Verheiratet,588,Gemeinde
Albula/Alvra,Verwitwet,103,Gemeinde
Albula/Alvra,Geschieden,92,Gemeinde
Distretto di Bernina,Ledig,1797,Bezirk
Distretto di Bernina,Verheiratet,2212,Bezirk
Distretto di Bernina,Verwitwet,387,Bezirk
Distretto di Bernina,Geschieden,223,Bezirk
Brusio,Ledig,417,Gemeinde
Brusio,Verheiratet,512,Gemeinde
Brusio,Verwitwet,115,Gemeinde
Brusio,Geschieden,62,Gemeinde
Poschiavo,Ledig,1380,Gemeinde
Poschiavo,Verheiratet,1700,Gemeinde
Poschiavo,Verwitwet,272,Gemeinde
Poschiavo,Geschieden,161,Gemeinde
Bezirk Hinterrhein,Ledig,5403,Bezirk
Bezirk Hinterrhein,Verheiratet,6063,Bezirk
Bezirk Hinterrhein,Verwitwet,732,Bezirk
Bezirk Hinterrhein,Geschieden,981,Bezirk
Fürstenau,Ledig,129,Gemeinde
Fürstenau,Verheiratet,178,Gemeinde
Fürstenau,Verwitwet,20,Gemeinde
Fürstenau,Geschieden,18,Gemeinde
Rothenbrunnen,Ledig,145,Gemeinde
Rothenbrunnen,Verheiratet,120,Gemeinde
Rothenbrunnen,Verwitwet,5,Gemeinde
Rothenbrunnen,Geschieden,33,Gemeinde
Scharans,Ledig,355,Gemeinde
Scharans,Verheiratet,366,Gemeinde
Scharans,Verwitwet,57,Gemeinde
Scharans,Geschieden,42,Gemeinde
Sils im Domleschg,Ledig,365,Gemeinde
Sils im Domleschg,Verheiratet,444,Gemeinde
Sils im Domleschg,Verwitwet,50,Gemeinde
Sils im Domleschg,Geschieden,68,Gemeinde
Cazis,Ledig,879,Gemeinde
Cazis,Verheiratet,944,Gemeinde
Cazis,Verwitwet,92,Gemeinde
Cazis,Geschieden,172,Gemeinde
Flerden,Ledig,108,Gemeinde
Flerden,Verheiratet,100,Gemeinde
Flerden,Verwitwet,10,Gemeinde
Flerden,Geschieden,11,Gemeinde
Masein,Ledig,204,Gemeinde
Masein,Verheiratet,227,Gemeinde
Masein,Verwitwet,12,Gemeinde
Masein,Geschieden,32,Gemeinde
Thusis,Ledig,1206,Gemeinde
Thusis,Verheiratet,1395,Gemeinde
Thusis,Verwitwet,178,Gemeinde
Thusis,Geschieden,246,Gemeinde
Tschappina,Ledig,45,Gemeinde
Tschappina,Verheiratet,68,Gemeinde
Tschappina,Verwitwet,4,Gemeinde
Tschappina,Geschieden,9,Gemeinde
Urmein,Ledig,45,Gemeinde
Urmein,Verheiratet,87,Gemeinde
Urmein,Verwitwet,5,Gemeinde
Urmein,Geschieden,4,Gemeinde
Domleschg,Ledig,812,Gemeinde
Domleschg,Verheiratet,863,Gemeinde
Domleschg,Verwitwet,105,Gemeinde
Domleschg,Geschieden,163,Gemeinde
Avers,Ledig,73,Gemeinde
Avers,Verheiratet,74,Gemeinde
Avers,Verwitwet,11,Gemeinde
Avers,Geschieden,10,Gemeinde
Hinterrhein,Ledig,28,Gemeinde
Hinterrhein,Verheiratet,28,Gemeinde
Hinterrhein,Verwitwet,6,Gemeinde
Hinterrhein,Geschieden,4,Gemeinde
Nufenen,Ledig,66,Gemeinde
Nufenen,Verheiratet,77,Gemeinde
Nufenen,Verwitwet,12,Gemeinde
Nufenen,Geschieden,1,Gemeinde
Splügen,Ledig,152,Gemeinde
Splügen,Verheiratet,186,Gemeinde
Splügen,Verwitwet,23,Gemeinde
Splügen,Geschieden,23,Gemeinde
Sufers,Ledig,45,Gemeinde
Sufers,Verheiratet,69,Gemeinde
Sufers,Verwitwet,8,Gemeinde
Sufers,Geschieden,3,Gemeinde
Andeer,Ledig,378,Gemeinde
Andeer,Verheiratet,435,Gemeinde
Andeer,Verwitwet,88,Gemeinde
Andeer,Geschieden,57,Gemeinde
Casti-Wergenstein,Ledig,24,Gemeinde
Casti-Wergenstein,Verheiratet,26,Gemeinde
Casti-Wergenstein,Verwitwet,0,Gemeinde
Casti-Wergenstein,Geschieden,2,Gemeinde
Donat,Ledig,89,Gemeinde
Donat,Verheiratet,95,Gemeinde
Donat,Verwitwet,12,Gemeinde
Donat,Geschieden,12,Gemeinde
Lohn (GR),Ledig,20,Gemeinde
Lohn (GR),Verheiratet,17,Gemeinde
Lohn (GR),Verwitwet,2,Gemeinde
Lohn (GR),Geschieden,4,Gemeinde
Mathon,Ledig,24,Gemeinde
Mathon,Verheiratet,17,Gemeinde
Mathon,Verwitwet,3,Gemeinde
Mathon,Geschieden,8,Gemeinde
Rongellen,Ledig,20,Gemeinde
Rongellen,Verheiratet,25,Gemeinde
Rongellen,Verwitwet,3,Gemeinde
Rongellen,Geschieden,11,Gemeinde
Zillis-Reischen,Ledig,160,Gemeinde
Zillis-Reischen,Verheiratet,185,Gemeinde
Zillis-Reischen,Verwitwet,21,Gemeinde
Zillis-Reischen,Geschieden,37,Gemeinde
Ferrera,Ledig,31,Gemeinde
Ferrera,Verheiratet,37,Gemeinde
Ferrera,Verwitwet,5,Gemeinde
Ferrera,Geschieden,11,Gemeinde
Bezirk Imboden,Ledig,8527,Bezirk
Bezirk Imboden,Verheiratet,9289,Bezirk
Bezirk Imboden,Verwitwet,864,Bezirk
Bezirk Imboden,Geschieden,1478,Bezirk
Bonaduz,Ledig,1365,Gemeinde
Bonaduz,Verheiratet,1457,Gemeinde
Bonaduz,Verwitwet,118,Gemeinde
Bonaduz,Geschieden,243,Gemeinde
Domat/Ems,Ledig,3301,Gemeinde
