Rubrik,Name,Bank,Vorname,Strasse + Nr,PLZ,Ort,Telefon 1
,Banque Coop,Bank Coop,,place du Midi 46,1950,Sion,* 027 328 15 55
,Banque Julius Baer  Cie SA,Bank Julius Bär,,av. de la Gare 31,1950,Sion,* 058 889 38 38
,Banque Migros,Banque Migros,,av. de France 10,1950,Sion,* 0848 84 54 00
Gérance de fortune:,Banque Heritage,Banque Heritage,,av. de la Gare 34,1950,Sion,* 058 220 07 00
Gérance de fortune:,Banque Julius Baer  Cie SA,Bank Julius Bär,,av. de la Gare 31,1950,Sion,* 058 889 38 38
Private Banking:,Banque Julius Baer  Cie SA,Bank Julius Bär,,av. de la Gare 31,1950,Sion,* 058 889 38 38
Banque:,Banque Valiant SA,Banque Valiant SA,,au Village,1678,Siviriez,* 026 662 73 73
,Banque Valiant SA,Banque Valiant SA,,au Village,1678,Siviriez,* 026 662 73 73
Bank Sparkasse:,Migros Bank,Migros Bank,,Hauptgasse 49,4500,Solothurn,* 0848 84 54 00
,Migros Bank,Migros Bank,,Hauptgasse 49,4500,Solothurn,* 0848 84 54 00
Banque:,Banque Raiffeisen du Gibloux,Banque Raiffeisen du Gibloux,,ch. de la Paix 6,1642,Sorens,026 915 60 10
,Banque Raiffeisen du Gibloux,Banque Raiffeisen du Gibloux,,ch. de la Paix 6,1642,Sorens,026 915 60 10
Bank Sparkasse:,Migros Bank,Migros Bank,,Bahnhofstr. 4,9000,St. Gallen,* 0848 84 54 00
,Migros Bank,Migros Bank,,Bahnhofstr. 4,9000,St. Gallen,* 0848 84 54 00
Banque:,Raiffeisen du Vignoble société coopérative,Raiffeisen du Vignoble société coopérative,,Grand'Rue 30,2072,St-Blaise,* 0840241241
Banque:,Banque Raiffeisen Mont-Aubert Orbe société coopérative,Banque Raiffeisen Mont-Aubert Orbe société coopérative,,rue Centrale 6,1450,Ste-Croix,024 447 80 00
Banque:,BCV,BCV,,rue Neuve 2,1450,Ste-Croix,* 0844 22 82 28
Banque:,Banque Raiffeisen du Haut-Léman société coopérative,Banque Raiffeisen du Haut-Léman société coopérative,,route Cantonale 10,1898,St-Gingolph,* 024 482 40 40
Banque:,BEKB | BCBE St. Imier,BEKB | BCBE St. Imier,,rue Basse 2,2610,St-Imier,* 032 942 34 23
Banque:,Clientis Caisse d'Epargne CEC SA,Clientis Caisse d'Epargne CEC SA,,rue Francillon 31,2610,St-Imier,032 941 47 27
Banque:,CREDIT SUISSE SA,CREDIT SUISSE SA,,place du Marché 5,2610,St-Imier,* 032 942 33 11
Banque:,Raiffeisen Pierre Pertuis société coopérative,Raiffeisen Pierre Pertuis société coopérative,,rue Baptiste-Savoye 68,2610,St-Imier,* 032 624 54 84
Banque:,Raiffeisen Sion et Région société coopérative,Raiffeisen Sion et Région société coopérative,,route de Lens 20,1958,St-Léonard,* 027 328 10 00
Banque:,Raiffeisen Sion et Région société coopérative,Raiffeisen Sion et Région société coopérative,,rue de l'Evouette 7,1969,St-Martin VS,* 027 328 10 00
Banque:,Banque Cantonale du Valais,Banque Cantonale du Valais,,av. de la Gare 2,1890,St-Maurice,* 0848 76 57 65
Banque:,Banque Raiffeisen de Massongex / St-Maurice / Vérossaz société coo,Banque Raiffeisen de Massongex / St-Maurice / Vérossaz société coo,,place Val de Marne 10,1890,St-Maurice,* 024 485 27 79
Banque:,BCV,BCV,,route de Rolle 2,1162,St-Prex,* 0844 22 82 28
Banque:,Raiffeisen Clos du Doubs et Haute-Ajoie Société coopérative,Raiffeisen Clos du Doubs et Haute-Ajoie Société coopérative,,rue de l'Hôpital 5,2882,St-Ursanne,032 461 00 10
Banque:,Banque Raiffeisen Basse Broye Vully société coopérative,Banque Raiffeisen Basse Broye Vully société coopérative,,route Principale 20,1786,Sugiez,026 673 91 91
Bank Sparkasse:,Migros Bank,Migros Bank,,Bahnhofstr. 19,6210,Sursee,* 0848 84 54 00
,Migros Bank,Migros Bank,,Bahnhofstr. 19,6210,Sursee,* 0848 84 54 00
Banque:,Banque Valiant SA,Banque Valiant SA,,Grand-Rue 25,2710,Tavannes,* 032 482 72 72
Banque:,BEKB | BCBE Tavannes,BEKB | BCBE Tavannes,,Grand-Rue 4,2710,Tavannes,* 032 481 23 40
Banque:,CREDIT SUISSE AG,CREDIT SUISSE,,rue H.F. Sandoz 24,2710,Tavannes,* 032 482 63 11
Banque:,Raiffeisen Pierre Pertuis société coopérative,Raiffeisen Pierre Pertuis société coopérative,,Grand-Rue 22A,2710,Tavannes,* 032 624 54 31
,Banque Valiant SA,Banque Valiant SA,,Grand-Rue 25,2710,Tavannes,* 032 482 72 72
Bank Sparkasse:,Migros Bank,Migros Bank,,Gotthardstr. 13,8800,Thalwil,* 0848 84 54 00
,Migros Bank,Migros Bank,,Gotthardstr. 13,8800,Thalwil,* 0848 84 54 00
,Banque Raiffeisen Plateau du Jorat-Molondin société coopérative,Banque Raiffeisen Plateau du Jorat-Molondin société coopérative,,rue de la Poste 10,1410,Thierrens,* 021 905 92 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Bälliz 36,3600,Thun,* 0848 84 54 00
,Migros Bank,Migros Bank,,Bälliz 36,3600,Thun,* 0848 84 54 00
Banque:,BEKB | BCBE Tramelan,BEKB | BCBE Tramelan,,Grand-Rue 124,2720,Tramelan,* 032 486 88 10
Banque:,Clientis Caisse d'Epargne CEC SA,Clientis Caisse d'Epargne CEC SA,,Grand-Rue 136,2720,Tramelan,032 487 52 22
Banque:,Raiffeisen Pierre Pertuis société coopérative,Raiffeisen Pierre Pertuis société coopérative,,Grand-Rue 169,2720,Tramelan,* 032 624 54 31
Banque:,Banque Raiffeisen de Troistorrents-Morgins société coopérative,Banque Raiffeisen de Troistorrents-Morgins société coopérative,,place du Village 5,1872,Troistorrents,024 476 87 38
Banque:,Cantonale du Valais,Cantonale du Valais,,,1872,Troistorrents,* 0848 76 57 65
Banque:,Banque Raiffeisen Moléson,Banque Raiffeisen Moléson,,ch. du Soleil 1,1670,Ursy,* 021 909 51 33
,Banque Raiffeisen Moléson,Banque Raiffeisen Moléson,,ch. du Soleil 1,1670,Ursy,* 021 909 51 33
Bank Sparkasse:,Migros Bank,Migros Bank,,Industriestr. 10,3322,Urtenen-Schönbühl,* 0848 84 54 00
,Migros Bank,Migros Bank,,Industriestr. 10,3322,Urtenen-Schönbühl,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Zürichstr. 12a,8610,Uster,* 0848 84 54 00
Einkaufszentrum: Illuster:,Migros Bank,Migros Bank,,Zürichstr. 12a,8610,Uster,* 0848 84 54 00
,Migros Bank,Migros Bank,,Zürichstr. 12a,8610,Uster,* 0848 84 54 00
Banque:,Banque Raiffeisen de Val-d'Illiez -Champéry,Banque Raiffeisen de Val-d'Illiez -Champéry,,ch. de la Musique 1,1873,Val-d'Illiez,* 024 476 80 70
Banque:,Banque Raiffeisen Mont-Aubert Orbe société coopérative,Banque Raiffeisen Mont-Aubert Orbe société coopérative,,Grand-Rue 9,1337,Vallorbe,024 447 80 00
Banque:,BCV,BCV,,rue de l'Horloge 1,1337,Vallorbe,* 0844 22 82 28
Banque:,Bank Julius Bär  Co AG,Bank Julius Bär,,route des Creux 7,1936,Verbier,* 058 889 71 00
Banque:,Banque Cantonale du Valais,Banque Cantonale du Valais,,place Centrale,1936,Verbier,* 0848 76 57 65
Banque:,CREDIT SUISSE SA,CREDIT SUISSE SA,,route de Verbier Station 61,1936,Verbier,* 027 775 36 36
Banque:,Landolt  Cie SA,Landolt  Cie SA,,rue du Centre Sportif 22,1936,Verbier,* 027 775 56 80
Banque:,Raiffeisen Entremont société coopérative,Raiffeisen Entremont société coopérative,,route de Verbier 137,1936,Verbier,* 027 780 10 00
Banque:,UBS Switzerland AG,UBS Switzerland,,place Centrale,1936,Verbier,* 027 775 47 11
Banque:,Raiffeisen société coopérative,Raiffeisen société coopérative,,,3967,Vercorin,* 027 455 26 80
Banque:,Banque Raiffeisen du Val-Terbi société coopérative,Banque Raiffeisen du Val-Terbi société coopérative,,milieu du Village 49,2829,Vermes,* 032 436 15 15
Banque:,Raiffeisen Martigny et Région société coopérative,Raiffeisen Martigny et Région société coopérative,,grand Rue 63,1904,Vernayaz,* 027 747 16 20
Banque:,Raiffeisen société coopérative,Raiffeisen société coopérative,,place Communale 5,1891,Vérossaz,024 485 24 56
Banque:,Raiffeisen Sion et Région société coopérative,Raiffeisen Sion et Région société coopérative,,av. des Vergers 20,1963,Vétroz,* 027 328 10 00
Asset Management:,Banque Lombard Odier  Cie SA - Agence de Vevey,Banque Lombard Odier  Cie SA - Agence de Vevey,,rue Jean-Jacques Rousseau 5,1800,Vevey,* 021 923 30 11
Banque:,Banque Lombard Odier  Cie SA - Agence de Vevey,Banque Lombard Odier  Cie SA - Agence de Vevey,,rue Jean-Jacques Rousseau 5,1800,Vevey,* 021 923 30 11
Banque:,Banque Migros,Banque Migros,,rue de Lausanne 17,1800,Vevey,* 0848 84 54 00
Banque:,Banque Raiffeisen de la Riviera société coopérative,Banque Raiffeisen de la Riviera société coopérative,,rue du Simplon 48,1800,Vevey,* 021 921 32 88
Banque:,BCV,BCV,,place de la Gare,1800,Vevey,* 0844 22 82 28
Banque:,Caisse d'Epargne Riviera,Caisse d'Epargne Riviera,,av. Paul-Cérésole 3,1800,Vevey,* 021 925 80 25
Banque:,CREDIT SUISSE AG,CREDIT SUISSE,,rue du Simplon 50,1800,Vevey,* 021 925 01 11
Banque:,UBS Switzerland AG,UBS Switzerland,,rue de Lausanne 6,1800,Vevey,* 021 925 97 11
,Banque Coop,Bank Coop,,rue du Théâtre 8,1800,Vevey,021 925 93 20
,Banque Lombard Odier  Cie SA - Agence de Vevey,Banque Lombard Odier  Cie SA - Agence de Vevey,,rue Jean-Jacques Rousseau 5,1800,Vevey,* 021 923 30 11
,Banque Migros,Banque Migros,,rue de Lausanne 17,1800,Vevey,* 0848 84 54 00
Fonds de placement et investissements:,Banque Lombard Odier  Cie SA - Agence de Vevey,Banque Lombard Odier  Cie SA - Agence de Vevey,,rue Jean-Jacques Rousseau 5,1800,Vevey,* 021 923 30 11
Gérance de fortune:,Banque Lombard Odier  Cie SA - Agence de Vevey,Banque Lombard Odier  Cie SA - Agence de Vevey,,rue Jean-Jacques Rousseau 5,1800,Vevey,* 021 923 30 11
Private Banking:,Banque Lombard Odier  Cie SA - Agence de Vevey,Banque Lombard Odier  Cie SA - Agence de Vevey,,rue Jean-Jacques Rousseau 5,1800,Vevey,* 021 923 30 11
Banque:,Banque Cantonale du Valais,Banque Cantonale du Valais,,route de Sion 6,1981,Vex,* 0848 76 57 65
Banque:,Raiffeisen Sion et Région société coopérative,Raiffeisen Sion et Région société coopérative,,route de Sion 18,1981,Vex,* 027 328 10 00
Banque:,Banque Cantonale du Valais,Banque Cantonale du Valais,,route de Pra 2,1993,Veysonnaz,027 208 55 82
Banque:,Banque Raiffeisen du Val-Terbi société coopérative,Banque Raiffeisen du Val-Terbi société coopérative,,route Principale 51,2824,Vicques,* 032 436 15 15
Banque:,Banque Raiffeisen Fribourg-Ouest Société Coopérative,Banque Raiffeisen Fribourg-Ouest Société Coopérative,,route de Moncor 12,1752,Villars-sur-Glâne,026 408 40 00
,Banque Raiffeisen Fribourg-Ouest Société Coopérative,Banque Raiffeisen Fribourg-Ouest Société Coopérative,,route de Moncor 12,1752,Villars-sur-Glâne,026 408 40 00
Banque:,BCV,BCV,,av. Centrale 119,1884,Villars-sur-Ollon,* 0844 22 82 28
Banque:,CREDIT SUISSE SA,CREDIT SUISSE SA,,av. Centrale,1884,Villars-sur-Ollon,* 024 496 66 66
Banque:,UBS Switzerland AG,UBS Switzerland,,av. Centrale 91,1884,Villars-sur-Ollon,* 024 496 20 11
Banque:,Banque Raiffeisen de la Riviera société coopérative,Banque Raiffeisen de la Riviera société coopérative,,quai Grand'Rives 10,1844,Villeneuve VD,* 021 921 32 88
Banque:,BCV,BCV,,Grand-Rue 1,1844,Villeneuve VD,* 0844 22 82 28
Banque:,Banque Raiffeisen du Haut-Léman société coopérative,Banque Raiffeisen du Haut-Léman société coopérative,,route du Léman 10,1895,Vionnaz,* 024 482 42 20
Banque:,Banque Cantonale du Valais,Banque Cantonale du Valais,,place de la Poste,3961,Vissoie,* 0848 76 57 65
Banque:,Raiffeisen Sierre et Région société coopérative,Raiffeisen Sierre et Région société coopérative,,,3961,Vissoie,027 452 27 27
Banque:,Raiffeisen Entremont société coopérative,Raiffeisen Entremont société coopérative,,route d'Etiez 14,1941,Vollèges,* 027 780 10 00
Banque:,Banque Raiffeisen du Haut-Léman société coopérative,Banque Raiffeisen du Haut-Léman société coopérative,,Grand'Rue 10,1896,Vouvry,* 024 482 40 00
Banque:,Cantonale du Valais,Cantonale du Valais,,rue Arthur Parchet 2,1896,Vouvry,024 481 42 42
Banque:,UBS Switzerland AG,UBS Switzerland,,place Panaït-Istrati 2,1896,Vouvry,* 024 482 21 11
Banque:,Banque Raiffeisen Moléson,Banque Raiffeisen Moléson,,route Principale 174,1628,Vuadens,* 026 913 27 00
Banque:,Banque Cantonale de Fribourg,Banque Cantonale de Fribourg,,route de Sommentier 8,1687,Vuisternens-devant-Romont,* 0848 22 32 23
Bank Sparkasse:,Migros Bank,Migros Bank,,Oberdorfstr. 22,8820,Wädenswil,* 0848 84 54 00
,Migros Bank,Migros Bank,,Oberdorfstr. 22,8820,Wädenswil,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Richtiarkade 13,8304,Wallisellen,* 0848 84 54 00
,Migros Bank,Migros Bank,,Richtiarkade 13,8304,Wallisellen,* 0848 84 54 00
,Migros Bank,Migros Bank,,Industriestr. 17,8304,Wallisellen,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Obere Bahnhofstr. 22,9500,Wil SG,* 0848 84 54 00
,Migros Bank,Migros Bank,,Obere Bahnhofstr. 22,9500,Wil SG,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Unterer Graben 35,8400,Winterthur,* 0848 84 54 00
,Migros Bank,Migros Bank,,Unterer Graben 35,8400,Winterthur,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Bahnhofstr. 15,5610,Wohlen AG,* 0848 84 54 00
,Migros Bank,Migros Bank,,Bahnhofstr. 15,5610,Wohlen AG,* 0848 84 54 00
Anlagefonds Investierungen:,CIM BANQUE SA,CIM Banque SA,,Dorfpl. 1,8832,Wollerau,* 058 225 51 90
Bank Sparkasse:,CIM BANQUE SA,CIM Banque SA,,Dorfpl. 1,8832,Wollerau,* 058 225 51 90
,CIM BANQUE SA,CIM Banque SA,,Dorfpl. 1,8832,Wollerau,* 058 225 51 90
E-Banking:,CIM BANQUE SA,CIM Banque SA,,Dorfpl. 1,8832,Wollerau,* 058 225 51 90
Banque:,Banque Migros,Banque Migros,,rue de la Plaine 29,1400,Yverdon-les-Bains,* 0848 84 54 00
Banque:,Banque Raiffeisen d'Yverdon les-Bains société coopérative,Banque Raiffeisen d'Yverdon les-Bains société coopérative,,av. de la Gare 4,1400,Yverdon-les-Bains,* 024 424 03 00
Banque:,Banque Valiant SA,Banque Valiant SA,,rue de la Plaine 5,1400,Yverdon-les-Bains,024 424 94 11
Banque:,BCV,BCV,,rue des Remparts 17,1400,Yverdon-les-Bains,* 0844 22 82 28
Banque:,Crédit Agricole Financements (Suisse) SA,Crédit Agricole Financements (Suisse) SA,,rue de la Plaine 14-16,1400,Yverdon-les-Bains,* 024 423 45 12
Banque:,CREDIT SUISSE SA,CREDIT SUISSE SA,,rue des Remparts 16,1400,Yverdon-les-Bains,024 423 84 11
Banque:,family-net.ch,family-net.ch,,rue de la Plaine 12,1400,Yverdon-les-Bains,* 024 423 00 57
Banque:,Piguet Galland  Cie SA,Piguet Galland  Cie SA,,rue de la Plaine 18,1400,Yverdon-les-Bains,* 058 310 45 11
Banque:,UBS Switzerland AG,UBS Switzerland,,rue de Neuchâtel 1,1400,Yverdon-les-Bains,* 024 424 16 11
,Banque Coop,Bank Coop,,rue du Casino 4,1400,Yverdon-les-Bains,024 424 13 40
,Banque Migros,Banque Migros,,rue de la Plaine 29,1400,Yverdon-les-Bains,* 0848 84 54 00
,Banque Raiffeisen d'Yverdon les-Bains société coopérative,Banque Raiffeisen d'Yverdon les-Bains société coopérative,,av. de la Gare 4,1400,Yverdon-les-Bains,* 024 424 03 00
,Banque Valiant SA,Banque Valiant SA,,rue de la Plaine 5,1400,Yverdon-les-Bains,024 424 94 11
Banque:,Banque Raiffeisen d'Yverdon les-Bains société coopérative,Banque Raiffeisen d'Yverdon les-Bains société coopérative,,av. de la Gare 6,1462,Yvonand,* 024 424 03 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Vordere Hauptgasse 66,4800,Zofingen,* 0848 84 54 00
,Migros Bank,Migros Bank,,Vordere Hauptgasse 66,4800,Zofingen,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Baarerstr. 25,6300,Zug,* 0848 84 54 00
,Migros Bank,Migros Bank,,Baarerstr. 25,6300,Zug,* 0848 84 54 00
Bank Sparkasse:,Banque Algérienne du Commerce Extérieur SA Zürich,Banque Algérienne du Commerce Extérieur SA Zürich,,Talacker 41,8001,Zürich,* 044 218 50 60
Bank Sparkasse:,Banque Cantonale de Genève BCGE Private Banking,Banque Cantonale de Genève BCGE Private Banking,,Lintheschergasse 19,8001,Zürich,044 224 65 65
Bank Sparkasse:,Banque Cramer  Cie SA,Banque Cramer  Cie SA,,Sihlstr. 24,8001,Zürich,* 043 336 81 11
Bank Sparkasse:,Banque Hottinger  Cie SA,Banque Hottinger  Cie SA,,Schützengasse 30,8001,Zürich,* 044 284 12 00
Bank Sparkasse:,Banque Internationale à Luxembourg (Suisse) SA,Banque Internationale à Luxembourg (Suisse) SA,,Beethovenstr. 48,8002,Zürich,* 058 810 82 92
Bank Sparkasse:,Banque Pictet  Cie SA,Banque Pictet  Cie SA,,Freigutstr. 12,8002,Zürich,* 058 323 77 77
Bank Sparkasse:,Migros Bank,Migros Bank,,Nansenstr. 21,8050,Zürich,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Limmatstr. 152,8005,Zürich,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Seidengasse 12,8001,Zürich,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Stockerstr. 41,8002,Zürich,* 0848 84 54 00
Bank Sparkasse:,Migros Bank,Migros Bank,,Badenerstr. 670,8048,Zürich,* 0848 84 54 00
Banque:,Banque Heritage,Banque Heritage,,Bahnhofstr. 100,8001,Zürich,* 058 220 08 00
,Banque Algérienne du Commerce Extérieur SA Zürich,Banque Algérienne du Commerce Extérieur SA Zürich,,Talacker 41,8001,Zürich,* 044 218 50 60
,Banque Cantonale de Genève BCGE Private Banking,Banque Cantonale de Genève BCGE Private Banking,,Lintheschergasse 19,8001,Zürich,044 224 65 65
,Banque Cramer  Cie SA,Banque Cramer  Cie SA,,Sihlstr. 24,8001,Zürich,* 043 336 81 11
,Banque Havilland (Suisse) S.A,Banque Havilland (Suisse) S.A,,Bellariastr. 23,8002,Zürich,044 204 80 00
,Banque Heritage,Banque Heritage,,Bahnhofstr. 100,8001,Zürich,* 058 220 08 00
,Banque Hottinger  Cie SA,Banque Hottinger  Cie SA,,Schützengasse 30,8001,Zürich,* 044 284 12 00
,Banque Internationale à Luxembourg (Suisse) SA,Banque Internationale à Luxembourg (Suisse) SA,,Beethovenstr. 48,8002,Zürich,* 058 810 82 92
,Banque nationale suisse (BNS),Banque nationale suisse (BNS),,Börsenstr. 15,8001,Zürich,* 058 631 00 00
,Banque Pictet  Cie SA,Banque Pictet  Cie SA,,Freigutstr. 12,8002,Zürich,* 058 323 77 77
Gérance de fortune:,Banque Heritage,Banque Heritage,,Bahnhofstr. 100,8001,Zürich,* 058 220 08 00
,Migros Bank,Migros Bank,,Limmatstr. 152,8005,Zürich,* 0848 84 54 00
,Migros Bank,Migros Bank,,Nansenstr. 21,8050,Zürich,* 0848 84 54 00
,Migros Bank,Migros Bank,,Badenerstr. 670,8048,Zürich,* 0848 84 54 00
,Migros Bank,Migros Bank,,Stockerstr. 41,8002,Zürich,* 0848 84 54 00
,Migros Bank,Migros Bank,,Seidengasse 12,8001,Zürich,* 0848 84 54 00
Private Banking:,Banque Hottinger  Cie SA,Banque Hottinger  Cie SA,,Schützengasse 30,8001,Zürich,* 044 284 12 00
Private Banking:,Banque Internationale à Luxembourg (Suisse) SA,Banque Internationale à Luxembourg (Suisse) SA,,Beethovenstr. 48,8002,Zürich,* 058 810 82 92
Vermögensverwaltung:,Banque Cramer  Cie SA,Banque Cramer  Cie SA,,Sihlstr. 24,8001,Zürich,* 043 336 81 11
Vermögensverwaltung:,Banque Hottinger  Cie SA,Banque Hottinger  Cie SA,,Schützengasse 30,8001,Zürich,* 044 284 12 00
Vermögensverwaltung:,Banque Internationale à Luxembourg (Suisse) SA,Banque Internationale à Luxembourg (Suisse) SA,,Beethovenstr. 48,8002,Zürich,* 058 810 82 92
Vermögensverwaltung:,Banque Pictet  Cie SA,Banque Pictet  Cie SA,,Freigutstr. 12,8002,Zürich,* 058 323 77 77
Banque:,Raiffeisen Sion et Région société coopérative,Raiffeisen Sion et Région société coopérative,,route de la Printse 4,1994,Aproz (Nendaz),* 027 328 10 00
Banque:,Banque Raiffeisen Talent-Menthue société coopérative,Banque Raiffeisen Talent-Menthue société coopérative,,rue du Château 4,1376,Goumoens-la-Ville,021 886 02 02
Banque:,Banque Cantonale du Valais,Banque Cantonale du Valais,,,3966,Réchy,* 027 458 60 15
Banque:,Banque Cantonale du Valais,Banque Cantonale du Valais,,,1971,Grimisuat,027 398 27 17
Banque:,Raiffeisen de la Broye société coopérative,Raiffeisen de la Broye société coopérative,,route de Ménières 10,1523,Granges-près-Marnand,* 026 662 46 00
Banque:,Raiffeisen Sarine-Ouest société coopérative,Raiffeisen Sarine-Ouest société coopérative,,route de Fribourg 4,1782,Belfaux,026 476 62 00
Banque:,Raiffeisen de la Broye société coopérative,Raiffeisen de la Broye société coopérative,,Grand'Rue 20,1530,Payerne,* 026 662 46 00
Banque:,Cornèrcard (Visa et MasterCard),Cornèrcard (Visa et MasterCard),,via Canova 16,6900,Lugano,* 0844 00 41 41
Cartes de crédit:,Cornèrcard (Visa et MasterCard),Cornèrcard (Visa et MasterCard),,via Canova 16,6900,Lugano,* 0844 00 41 41
,Cornèrcard (Visa et MasterCard),Cornèrcard (Visa et MasterCard),,via Canova 16,6900,Lugano,* 0844 00 41 41
Aéroport: Galeries marchandes Aéroport:,Banque UBS Switzerland AG,Banque UBS Switzerland,,route de l'Aéroport 15,1216,Cointrin,* 022 306 14 88
Banque:,Banco Popular Español,Banco Popular Espanol,,av. Louis-Casaï 58,1216,Cointrin,022 732 13 39
Banque:,Banco Popular Espanol,Banco Popular Espanol,,av. Louis-Casaï 58,1216,Cointrin,* 022 731 68 30
Banque:,Banco Santander Totta SA,Banco Santander Totta SA,,rue de Genève 134,1226,Thônex,022 348 47 64
Banque: Banque Cantonale de Genève: Agences:,Bellevue,Bellevue,,route de Lausanne 329,1293,Bellevue,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Bernex,Bernex,,rue de Bernex 284,1233,Bernex,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Carouge-Marché,Carouge-Marché,,place du Marché 10,1227,Carouge GE,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Chêne,Chêne,,rue de Genève 78,1225,Chêne-Bourg,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Grand-Lancy,Grand-Lancy,,place du Premier-Août 1,1212,Grand-Lancy,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Grand-Saconnex,Grand-Saconnex,,route de Ferney 169,1218,Le Grand-Saconnex,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Lancy-Centre,Lancy-Centre,,route de Chancy 67,1213,Petit-Lancy,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Meyrin-Cité,Meyrin-Cité,,rue De-Livron 19,1217,Meyrin,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Onex,Onex,,av. du Gros-Chêne 14,1213,Onex,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Plan-les-Ouates,Plan-les-Ouates,,place des Aviateurs 5,1228,Plan-les-Ouates,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Praille-Acacias,Praille-Acacias,,route des Acacias 49,1227,Les Acacias,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Vernier,Vernier,,route de Vernier 219,1214,Vernier,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Versoix,Versoix,,route de Suisse 37,1290,Versoix,* 058 211 21 00
Banque: Banque Cantonale de Genève: Agences:,Vésenaz,Vésenaz,,route de Thonon 45-47,1222,Vésenaz,* 058 211 21 00
Banque:,Banque Migros,Banque Migros,,av. Vibert 32,1227,Carouge GE,* 0848 84 54 00
Banque:,Banque Migros,Banque Migros,,av. de Feuillasse 24,1217,Meyrin,* 0848 84 54 00
Banque:,Banque Migros,Banque Migros,,rue de Genève 21-23,1225,Chêne-Bourg,* 0848 84 54 00
Banque:,Barclays Bank (Suisse) SA,Barclays Bank (Suisse) SA,,ch. de Grange-Canal 18-20,1224,Chêne-Bougeries,022 819 51 11
Banque:,Cornèrcard (Visa et MasterCard),Cornèrcard (Visa et MasterCard),,via Canova 16,6900,Lugano,* 0844 00 41 41
Banque: CREDIT SUISSE SA: Succursales:,Carouge,Carouge,,place du Marché 12,1227,Carouge GE,* 022 304 42 00
Banque: CREDIT SUISSE SA: Succursales:,La Praille,La Praille,,route des Jeunes 10,1227,Carouge GE,022 308 65 65
Banque: CREDIT SUISSE SA: Succursales:,Vésenaz,Vésenaz,,ch. du Vieux-Vésenaz 32,1222,Vésenaz,* 022 855 98 00
Banque:,Pictet  Cie Group SCA,Pictet  Cie Group SCA,,route des Acacias 62,1227,Carouge GE,* 058 817 08 17
Banque:,UBS Investment Bank- un groupe d'affaires d'UBS AG,UBS Investment Bank- un groupe d'affaires d'UBS,,rue des Noirettes 35,1227,Carouge GE,* 022 375 75 75
Banque:,UBS Switzerland AG Acacias,UBS Switzerland Acacias,,rue des Noirettes 35,1227,Carouge GE,* 022 375 93 00
Banque:,UBS Switzerland AG CERN,UBS Switzerland CERN,,route de Meyrin 385,1217,Meyrin,* 022 783 21 88
Banque:,UBS Switzerland AG Chêne-Bourg,UBS Switzerland Chêne-Bourg,,rue de Genève 18,1225,Chêne-Bourg,* 022 869 25 88
Banque:,UBS Switzerland AG Cologny,UBS Switzerland Cologny,,place du Manoir 16,1223,Cologny,* 022 737 20 88
Banque:,UBS Switzerland AG Genève-Aéroport,UBS Switzerland Genève-Aéroport,,route de l'Aéroport 15,1216,Cointrin,* 022 306 14 88
Banque:,UBS Switzerland AG Lancy-Onex,UBS Switzerland Lancy-Onex,,rue des Bossons 90,1213,Petit-Lancy,* 022 879 16 11
Banque:,UBS Switzerland AG Meyrin,UBS Switzerland Meyrin,,av. de Feuillasse 24,1217,Meyrin,* 022 783 21 11
Banque:,UBS Switzerland AG Plan-les-Ouates,UBS Switzerland Plan-les-Ouates,,route de Saint-Julien 114,1228,Plan-les-Ouates,* 022 706 23 88
Banque:,UBS Switzerland AG Vernier,UBS Switzerland Vernier,,rue du Village 28,1214,Vernier,* 022 306 12 11
Banque:,UBS Switzerland AG Versoix,UBS Switzerland Versoix,,rampe de la Gare 2,1290,Versoix,* 022 775 16 88
,Banque Migros,Banque Migros,,av. de Feuillasse 24,1217,Meyrin,* 0848 84 54 00
